"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Admin can retrieve plant summary information","","2026-06-11","passed","2026-06-11","","","",""
"","671","Admin can login using valid credentials","","2026-06-11","passed","2026-06-11","","","",""
"","407","Admin cannot login with incorrect username or password","","2026-06-11","passed","2026-06-11","","","",""
"","565","User sees success message after logout","","2026-06-11","passed","2026-06-11","","","",""
"","418","User can login with correct username and password","","2026-06-11","passed","2026-06-11","","","",""
"","30561","Add A Category button is visible for Admin","","2026-06-11","broken","2026-06-11","","","",""
"","186","Admin can check application health status","","2026-06-11","passed","2026-06-11","","","",""
"","169","User can login using valid credentials","","2026-06-11","passed","2026-06-11","","","",""
"","472","Add A Category button is not visible for User","","2026-06-11","passed","2026-06-11","","","",""
"","270","Admin sees username required validation message","","2026-06-11","passed","2026-06-11","","","",""
"","230","Admin can retrieve category summary information","","2026-06-11","passed","2026-06-11","","","",""
"","263","User sees password required validation message","","2026-06-11","passed","2026-06-11","","","",""
"","177","Admin cannot login using invalid credentials","","2026-06-11","passed","2026-06-11","","","",""
"","406","User cannot login with incorrect username or password","","2026-06-11","passed","2026-06-11","","","",""
"","674","Admin can login with correct username and password","","2026-06-11","passed","2026-06-11","","","",""
"","211","User can retrieve sales summary information","","2026-06-11","passed","2026-06-11","","","",""
"","176","User can retrieve category summary information","","2026-06-11","passed","2026-06-11","","","",""
"","167","User cannot login using invalid credentials","","2026-06-11","passed","2026-06-11","","","",""
"","438","Admin is redirected to Dashboard after successful login","","2026-06-11","passed","2026-06-11","","","",""
"","448","User is redirected to Dashboard after successful login","","2026-06-11","passed","2026-06-11","","","",""
"","177","User can retrieve plant summary information","","2026-06-11","passed","2026-06-11","","","",""
"","30539","Add A Plant button is visible for Admin","","2026-06-11","broken","2026-06-11","","","",""
